Total Word Count - Unique Word Count : (184384, 49)
the : (11542, 'at-hl')
, : (9237, 'fw-rb-tl')
<s> : (8527, '<s>')
. : (7315, '.-hl')
of : (5655, 'in-tl-hl')
and : (4289, 'cc-tl-hl')
to : (4005, 'nps')
a : (3901, 'at-tl-hl')
in : (3472, 'in-tl')
is : (1789, 'bez-tl')
for : (1637, 'rb')
that : (1601, 'cs-hl')
`` : (1392, '``')
'' : (1353, "''")
he : (1176, 'pps-tl')
was : (1175, 'bedz-hl')
it : (1119, 'ppo-tl')
on : (1103, 'rp-tl')
with : (1069, 'in-tl')
as : (1063, 'cs-hl')
be : (1023, 'be-tl')
at : (964, 'in-tl')
by : (929, 'in-tl')
his : (873, 'pp$$')
this : (749, 'dt-tl')
are : (741, 'ber-hl')
but : (685, 'cc-hl')
has : (683, 'hvz-tl')
from : (641, 'in-tl')
not : (640, '*-hl')
will : (630, 'md-hl')
; : (626, '.')
an : (609, 'at-tl')
have : (603, 'hv')
-- : (558, '---hl')
who : (532, 'wps-tl')
they : (496, 'ppss')
which : (489, 'wdt')
one : (470, 'cd-hl')
said : (454, 'vbn-hl')
would : (445, 'md-hl')
had : (435, 'hvd-hl')
new : (427, 'jj-tl-hl')
all : (416, 'abn-hl')
? : (412, '.-hl')
or : (404, 'cc-tl')
been : (398, 'ben-tl')
their : (396, 'pp$')
were : (394, 'bed')
more : (386, 'ap-hl')
there : (375, 'rb-hl')
i : (372, 'nn')
mr. : (370, 'np-hl')
its : (358, 'pp$')
when : (333, 'wrb-tl')
) : (322, ')-hl')
we : (319, 'ppss-hl')
: : (319, ':-tl')
( : (319, '(-hl')
than : (291, 'in')
other : (282, 'ap-tl')
first : (282, 'od-hl')
out : (276, 'rp-hl')
no : (273, 'at-tl')
two : (267, 'cd-tl')
mrs. : (266, 'np-hl')
up : (265, 'rp-hl')
last : (265, 'ap-hl')
some : (255, 'dti-hl')
about : (254, 'in-tl')
if : (250, 'cs')
so : (247, 'cs')
her : (246, 'ppo')
can : (239, 'nn')
only : (233, 'jj')
what : (232, 'wps-tl')
him : (220, 'ppo')
state : (214, 'nn-hl')
after : (211, 'cs-tl')
into : (207, 'in-hl')
year : (199, 'nn-hl')
time : (197, 'nn-tl')
also : (193, 'rb')
most : (193, 'ql-tl')
do : (192, 'nn-tl')
them : (191, 'dts')
may : (187, 'np-tl')
now : (186, 'rb-hl')
over : (185, 'in-tl')
you : (184, 'ppss-tl')
she : (180, 'pps')
any : (179, 'dti')
years : (178, 'nns-hl')
made : (177, 'vbn-hl')
could : (176, 'md-hl')
president : (176, 'nn')
our : (171, 'pp$-hl')
american : (168, 'jj-hl')
many : (161, 'ql')
these : (161, 'dts')
man : (161, 'vb')
should : (158, 'md')
home : (158, 'np')
city : (156, 'nn-hl')
such : (155, 'ql')
then : (154, 'rb-hl')
even : (149, 'vb')
before : (146, 'cs-hl')
good : (146, 'nn-hl')
program : (144, 'nn-hl')
people : (144, 'nns-hl')
those : (135, 'dts')
united : (134, 'vbn-tl-hl')
world : (133, 'nn-hl')
states : (131, 'nns-hl')
school : (130, 'nn-hl')
work : (129, 'vb')
too : (129, 'rb-hl')
under : (128, 'in-tl')
three : (128, 'cd-tl-hl')
just : (128, 'jj')
house : (127, 'nn-tl-hl')
much : (126, 'ap-hl')
back : (123, 'rb-tl')
where : (123, 'wrb-tl')
against : (123, 'in-tl')
like : (122, 'in-tl')
week : (121, 'nn-hl')
both : (120, 'abx')
make : (120, 'vb')
being : (120, 'nn-tl')
here : (120, 'rb-tl')
way : (120, 'ql')
well : (117, 'nn')
public : (117, 'jj-tl')
how : (116, 'wrb-hl')
must : (115, 'md-tl')
night : (114, 'nn-tl')
each : (114, 'dt')
day : (113, 'np')
own : (112, 'vb')
government : (111, 'nn-tl')
did : (110, 'dod')
since : (109, 'rb')
national : (109, 'nn')
off : (108, 'in-hl')
get : (108, 'vb-hl')
old : (105, 'jj-tl')
little : (105, 'ap-hl')
because : (105, 'rb')
john : (103, 'np-hl')
war : (103, 'nn-hl')
long : (102, 'jj-tl')
high : (102, 'jj-hl')
very : (101, 'ap')
great : (100, 'ql')
through : (96, 'in-tl')
between : (96, 'rb')
my : (96, 'pp$-tl')
while : (95, 'vb')
members : (95, 'nns-tl')
without : (95, 'in-hl')
kennedy : (95, 'np-tl')
committee : (94, 'nn-tl')
take : (94, 'vb')
during : (94, 'in')
york : (94, 'np-tl')
music : (94, 'nn-tl')
does : (93, 'doz-hl')
another : (93, 'dt')
four : (92, 'cd-hl')
men : (92, 'nns-tl')
county : (91, 'nn-hl')
still : (90, 'ql')
might : (89, 'md-hl')
down : (89, 'rb-tl')
west : (88, 'nr-hl')
white : (88, 'nn')
never : (87, 'rb')
party : (86, 'vb')
general : (84, 'nn-tl')
right : (84, 'nn-hl')
see : (83, 'uh')
board : (83, 'nn-hl')
few : (82, 'ap')
us : (82, 'ppo-hl')
service : (81, 'nn-hl')
tax : (79, 'vb')
children : (79, 'nns-hl')
university : (79, 'nn')
east : (79, 'jj-tl-hl')
left : (78, 'nn')
big : (78, 'np')
young : (78, 'nn-tl')
come : (78, 'vb-tl')
far : (78, 'jj-tl')
miss : (78, 'vb')
course : (78, 'nn-tl')
however : (77, 'wql')
next : (77, 'ap-hl')
per : (77, 'in')
washington : (77, 'np-tl')
life : (77, 'nn-tl-hl')
